country,institute_type,direct_expenditure_type,year,expenditure
OECD Average,All Institutions ,Public,1995,4.9
Australia,All Institutions ,Public,1995,4.5
Austria,All Institutions ,Public,1995,5.3
Belgium,All Institutions ,Public,1995,5.0
Canada,All Institutions ,Public,1995,5.8
Chile,All Institutions ,Public,1995,
Czech Republic,All Institutions ,Public,1995,4.8
Denmark,All Institutions ,Public,1995,6.5
Estonia,All Institutions ,Public,1995,
Finland,All Institutions ,Public,1995,6.6
France,All Institutions ,Public,1995,5.8
Germany,All Institutions ,Public,1995,4.5
Greece,All Institutions ,Public,1995,3.7
Hungary,All Institutions ,Public,1995,4.9
Iceland,All Institutions ,Public,1995,4.5
Ireland,All Institutions ,Public,1995,4.7
Israel,All Institutions ,Public,1995,
Italy,All Institutions ,Public,1995,4.5
Japan,All Institutions ,Public,1995,3.6
"Korea, Republic of",All Institutions ,Public,1995,3.6
Luxembourg,All Institutions ,Public,1995,4.3
Mexico,All Institutions ,Public,1995,4.6
Netherlands,All Institutions ,Public,1995,4.6
New Zealand,All Institutions ,Public,1995,5.3
Norway,All Institutions ,Public,1995,6.8
Poland,All Institutions ,Public,1995,5.2
Portugal,All Institutions ,Public,1995,5.4
Slovak Republic,All Institutions ,Public,1995,4.6
Slovenia,All Institutions ,Public,1995,
Spain,All Institutions ,Public,1995,4.8
Sweden,All Institutions ,Public,1995,6.6
Switzerland,All Institutions ,Public,1995,5.5
Turkey,All Institutions ,Public,1995,2.2
United Kingdom,All Institutions ,Public,1995,4.6
United States,All Institutions ,Public,1995,5.0
  Brazil,All Institutions ,Public,1995,
  Russian Federation,All Institutions ,Public,1995,3.4
OECD Average,Elementary and Secondary Institutions ,Public,1995,3.5
Australia,Elementary and Secondary Institutions ,Public,1995,3.2
Austria,Elementary and Secondary Institutions ,Public,1995,3.8
Belgium,Elementary and Secondary Institutions ,Public,1995,3.4
Canada,Elementary and Secondary Institutions ,Public,1995,4.0
Chile,Elementary and Secondary Institutions ,Public,1995,
Czech Republic,Elementary and Secondary Institutions ,Public,1995,3.4
Denmark,Elementary and Secondary Institutions ,Public,1995,4.2
Estonia,Elementary and Secondary Institutions ,Public,1995,
Finland,Elementary and Secondary Institutions ,Public,1995,4.2
France,Elementary and Secondary Institutions ,Public,1995,4.1
Germany,Elementary and Secondary Institutions ,Public,1995,2.9
Greece,Elementary and Secondary Institutions ,Public,1995,2.8
Hungary,Elementary and Secondary Institutions ,Public,1995,3.3
Iceland,Elementary and Secondary Institutions ,Public,1995,3.4
Ireland,Elementary and Secondary Institutions ,Public,1995,3.3
Israel,Elementary and Secondary Institutions ,Public,1995,
Italy,Elementary and Secondary Institutions ,Public,1995,3.2
Japan,Elementary and Secondary Institutions ,Public,1995,2.8
"Korea, Republic of",Elementary and Secondary Institutions ,Public,1995,3.0
Luxembourg,Elementary and Secondary Institutions ,Public,1995,4.2
Mexico,Elementary and Secondary Institutions ,Public,1995,3.4
Netherlands,Elementary and Secondary Institutions ,Public,1995,3.0
New Zealand,Elementary and Secondary Institutions ,Public,1995,3.8
Norway,Elementary and Secondary Institutions ,Public,1995,4.1
Poland,Elementary and Secondary Institutions ,Public,1995,3.3
Portugal,Elementary and Secondary Institutions ,Public,1995,4.1
Slovak Republic,Elementary and Secondary Institutions ,Public,1995,
Slovenia,Elementary and Secondary Institutions ,Public,1995,
Spain,Elementary and Secondary Institutions ,Public,1995,3.5
Sweden,Elementary and Secondary Institutions ,Public,1995,4.4
Switzerland,Elementary and Secondary Institutions ,Public,1995,4.1
Turkey,Elementary and Secondary Institutions ,Public,1995,1.4
United Kingdom,Elementary and Secondary Institutions ,Public,1995,3.8
United States,Elementary and Secondary Institutions ,Public,1995,3.5
  Brazil,Elementary and Secondary Institutions ,Public,1995,
  Russian Federation,Elementary and Secondary Institutions ,Public,1995,1.9
OECD Average,Higher Education Institutions ,Public,1995,0.9
Australia,Higher Education Institutions ,Public,1995,1.2
Austria,Higher Education Institutions ,Public,1995,0.9
Belgium,Higher Education Institutions ,Public,1995,0.9
Canada,Higher Education Institutions ,Public,1995,1.5
Chile,Higher Education Institutions ,Public,1995,
Czech Republic,Higher Education Institutions ,Public,1995,0.7
Denmark,Higher Education Institutions ,Public,1995,1.3
Estonia,Higher Education Institutions ,Public,1995,
Finland,Higher Education Institutions ,Public,1995,1.7
France,Higher Education Institutions ,Public,1995,1.0
Germany,Higher Education Institutions ,Public,1995,1.0
Greece,Higher Education Institutions ,Public,1995,0.8
Hungary,Higher Education Institutions ,Public,1995,0.8
Iceland,Higher Education Institutions ,Public,1995,0.7
Ireland,Higher Education Institutions ,Public,1995,0.9
Israel,Higher Education Institutions ,Public,1995,
Italy,Higher Education Institutions ,Public,1995,0.7
Japan,Higher Education Institutions ,Public,1995,0.4
"Korea, Republic of",Higher Education Institutions ,Public,1995,0.3
Luxembourg,Higher Education Institutions ,Public,1995,0.1
Mexico,Higher Education Institutions ,Public,1995,0.8
Netherlands,Higher Education Institutions ,Public,1995,1.1
New Zealand,Higher Education Institutions ,Public,1995,1.1
Norway,Higher Education Institutions ,Public,1995,1.5
Poland,Higher Education Institutions ,Public,1995,0.8
Portugal,Higher Education Institutions ,Public,1995,1.0
Slovak Republic,Higher Education Institutions ,Public,1995,
Slovenia,Higher Education Institutions ,Public,1995,
Spain,Higher Education Institutions ,Public,1995,0.8
Sweden,Higher Education Institutions ,Public,1995,1.6
Switzerland,Higher Education Institutions ,Public,1995,1.1
Turkey,Higher Education Institutions ,Public,1995,0.8
United Kingdom,Higher Education Institutions ,Public,1995,0.7
United States,Higher Education Institutions ,Public,1995,1.1
  Brazil,Higher Education Institutions ,Public,1995,
  Russian Federation,Higher Education Institutions ,Public,1995,0.7
OECD Average,All Institutions ,Private,1995,
Australia,All Institutions ,Private,1995,
Austria,All Institutions ,Private,1995,
Belgium,All Institutions ,Private,1995,
Canada,All Institutions ,Private,1995,
Chile,All Institutions ,Private,1995,
Czech Republic,All Institutions ,Private,1995,
Denmark,All Institutions ,Private,1995,
Estonia,All Institutions ,Private,1995,
Finland,All Institutions ,Private,1995,
France,All Institutions ,Private,1995,
Germany,All Institutions ,Private,1995,
Greece,All Institutions ,Private,1995,
Hungary,All Institutions ,Private,1995,
Iceland,All Institutions ,Private,1995,
Ireland,All Institutions ,Private,1995,
Israel,All Institutions ,Private,1995,
Italy,All Institutions ,Private,1995,
Japan,All Institutions ,Private,1995,
